Sensor,Valor,DataHora
pH,6.56,20/06/2025 10:33:07
pH,6.75,20/06/2025 10:33:10
pH,6.89,20/06/2025 10:33:10
pH,7.07,20/06/2025 10:33:11
pH,6.08,20/06/2025 10:33:11
pH,6.96,20/06/2025 10:33:12
pH,6.96,20/06/2025 10:33:12
Turbidez,16.30,20/06/2025 10:33:07
Turbidez,10.50,20/06/2025 10:33:10
Turbidez,18.00,20/06/2025 10:33:10
Turbidez,30.00,20/06/2025 10:33:11
Turbidez,6.10,20/06/2025 10:33:11
Turbidez,17.70,20/06/2025 10:33:12
Turbidez,19.70,20/06/2025 10:33:12
Temperatura,23.30,20/06/2025 10:33:07
Temperatura,12.50,20/06/2025 10:33:10
Temperatura,16.00,20/06/2025 10:33:10
Temperatura,12.40,20/06/2025 10:33:11
Temperatura,13.70,20/06/2025 10:33:11
Temperatura,34.70,20/06/2025 10:33:12
Temperatura,25.60,20/06/2025 10:33:12
